  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
    36,    P-2549,   2025/07/25 01:28:37,           1-25,       9,        -6.196,     14822.531,         18688,       0,    1,                                        ,                                        ,                 H2O, 1753432423.22,         0.200,         2.792,        70.367,         0.001,        -0.035,         1.682,       220.046,       -10.968,         6.343,       112.776,         0.728,       -20.083,        0.0000,        0.0000,    1,        43.500,         1,      25,       2,20250722_TristanCaro,       0,       1
    37,    P-2550,   2025/07/25 01:39:52,           1-26,       1,        -6.826,     18472.075,         18885,      -1,    1,                                        ,                                        ,                 H2O, 1753433098.68,         0.238,        15.086,        67.511,         0.001,        -0.344,         1.603,       289.243,       -21.907,         7.386,       128.036,         0.742,       -24.005,       -0.0000,       -0.0000,    1,        43.500,         1,      26,       2,20250722_TristanCaro,       0,       1
    38,    P-2550,   2025/07/25 01:48:52,           1-26,       2,        -6.824,     18713.714,         18675,      -1,    1,                                        ,                                        ,                 H2O, 1753433638.56,         0.255,        15.277,        69.939,         0.000,        -0.353,         1.666,       287.353,       -22.019,         7.391,       126.565,         0.743,       -24.284,        0.0000,        0.0000,    1,        43.500,         1,      26,       2,20250722_TristanCaro,       0,       1
    39,    P-2550,   2025/07/25 01:57:52,           1-26,       3,        -6.782,     18821.574,         18671,      -1,    1,                                        ,                                        ,                 H2O, 1753434178.56,         0.235,        14.204,        69.654,         0.000,        -0.329,         1.654,       287.100,       -21.603,         7.328,       128.364,         0.743,       -24.052,        0.0000,        0.0000,    1,        43.438,         1,      26,       2,20250722_TristanCaro,       0,       1
    40,    P-2550,   2025/07/25 02:06:52,           1-26,       4,        -6.834,     18874.655,         18608,       0,    1,                                        ,                                        ,                 H2O, 1753434717.46,         0.215,        12.396,        71.042,         0.000,        -0.282,         1.691,       286.715,       -21.621,         7.267,       128.933,         0.737,       -23.907,        0.0000,        0.0000,    1,        43.438,         1,      26,       2,20250722_TristanCaro,       0,       1
    41,    P-2550,   2025/07/25 02:15:50,           1-26,       5,        -6.743,     18902.452,         18501,       0,    1,                                        ,                                        ,                 H2O, 1753435256.20,         0.265,        11.144,        71.408,         0.001,        -0.249,         1.691,       285.590,       -21.497,         7.264,       128.523,         0.743,       -23.642,        0.0000,        0.0000,    1,        43.500,         1,      26,       2,20250722_TristanCaro,       0,       1
    42,    P-2550,   2025/07/25 02:24:49,           1-26,       6,        -6.832,     18924.024,         18493,       0,    1,                                        ,                                        ,                 H2O, 1753435795.42,         0.246,        10.883,        70.142,         0.000,        -0.246,         1.675,       286.087,       -22.167,         7.322,       127.146,         0.742,       -23.911,        0.0000,        0.0000,    1,        43.438,         1,      26,       2,20250722_TristanCaro,       0,       1
    43,    P-2550,   2025/07/25 02:33:49,           1-26,       7,        -6.794,     18950.537,         18828,       0,    1,                                        ,                                        ,                 H2O, 1753436334.81,         0.242,        10.783,        68.919,         0.001,        -0.246,         1.648,       289.419,       -23.063,         7.468,       129.807,         0.745,       -24.376,        0.0000,        0.0000,    1,        43.500,         1,      26,       2,20250722_TristanCaro,       0,       1
    44,    P-2550,   2025/07/25 02:42:49,           1-26,       8,        -6.779,     18959.577,         18500,       0,    1,                                        ,                                        ,                 H2O, 1753436875.02,         0.246,        10.035,        70.870,         0.000,        -0.223,         1.686,       285.889,       -21.516,         7.260,       128.228,         0.742,       -23.691,       -0.0000,       -0.0000,    1,        43.438,         1,      26,       2,20250722_TristanCaro,       0,       1
    45,    P-2550,   2025/07/25 02:51:49,           1-26,       9,        -6.785,     18966.580,         18556,       0,    1,                                        ,                                        ,                 H2O, 1753437414.76,         0.240,         9.397,        70.269,         0.000,        -0.208,         1.674,       286.346,       -22.109,         7.314,       128.628,         0.744,       -23.887,       -0.0000,       -0.0000,    1,        43.438,         1,      26,       2,20250722_TristanCaro,       0,       1
    46,    P-2551,   2025/07/25 03:03:05,           1-27,       1,        -6.086,     14760.723,         18957,      -1,    1,                                        ,                                        ,                 H2O, 1753438091.28,         0.230,         6.203,        69.214,         0.000,         0.138,         1.652,       238.715,       -12.547,         6.501,       114.164,         0.732,       -20.489,       -0.0000,       -0.0000,    1,        43.500,         1,      27,       2,20250722_TristanCaro,       0,       1
    47,    P-2551,   2025/07/25 03:12:04,           1-27,       2,        -6.071,     14382.940,         18486,      -1,    1,                                        ,                                        ,                 H2O, 1753438630.35,         0.200,         5.834,        67.947,         0.001,         0.131,         1.621,       234.086,       -10.306,         6.132,       111.115,         0.729,       -19.201,       -0.0000,       -0.0000,    1,        43.625,         1,      27,       2,20250722_TristanCaro,       0,       1
    48,    P-2551,   2025/07/25 03:21:04,           1-27,       3,        -6.042,     14335.554,         18771,      -1,    1,                                        ,                                        ,                 H2O, 1753439170.46,         0.178,         4.598,        70.228,         0.001,         0.098,         1.675,       236.235,       -10.656,         6.273,       112.479,         0.729,       -19.488,        0.0000,        0.0000,    1,        43.562,         1,      27,       2,20250722_TristanCaro,       0,       1
    49,    P-2551,   2025/07/25 03:30:03,           1-27,       4,        -6.025,     14325.608,         18635,       0,    1,                                        ,                                        ,                 H2O, 1753439709.23,         0.206,         3.997,        70.550,         0.001,         0.075,         1.681,       235.010,       -10.319,         6.224,       111.871,         0.729,       -19.132,       -0.0000,       -0.0000,    1,        43.500,         1,      27,       2,20250722_TristanCaro,       0,       1
    50,    P-2551,   2025/07/25 03:39:02,           1-27,       5,        -6.059,     14321.933,         18546,       0,    1,                                        ,                                        ,                 H2O, 1753440248.33,         0.210,         3.200,        71.278,         0.000,         0.052,         1.698,       234.176,       -10.796,         6.197,       113.229,         0.729,       -18.757,        0.0000,        0.0000,    1,        43.500,         1,      27,       2,20250722_TristanCaro,       0,       1
    51,    P-2551,   2025/07/25 03:48:03,           1-27,       6,        -6.058,     14317.068,         18405,       0,    1,                                        ,                                        ,                 H2O, 1753440789.21,         0.201,         2.332,        68.623,         0.000,         0.010,         1.639,       233.071,       -10.161,         6.119,       111.193,         0.728,       -18.861,        0.0000,        0.0000,    1,        43.500,         1,      27,       2,20250722_TristanCaro,       0,       1
    52,    P-2551,   2025/07/25 03:57:03,           1-27,       7,        -6.034,     14315.304,         18294,       0,    1,                                        ,                                        ,                 H2O, 1753441329.20,         0.188,         2.325,        70.884,         0.000,         0.018,         1.686,       232.155,        -9.825,         5.999,       111.613,         0.728,       -18.743,       -0.0000,       -0.0000,    1,        43.500,         1,      27,       2,20250722_TristanCaro,       0,       1
    53,    P-2551,   2025/07/25 04:06:02,           1-27,       8,        -6.063,     14310.704,         18395,       0,    1,                                        ,                                        ,                 H2O, 1753441868.77,         0.196,         2.622,        70.425,         0.000,         0.020,         1.675,       232.996,       -10.233,         6.125,       111.297,         0.727,       -18.781,       -0.0000,       -0.0000,    1,        43.500,         1,      27,       2,20250722_TristanCaro,       0,       1
    54,    P-2551,   2025/07/25 04:15:02,           1-27,       9,        -6.082,     14302.189,         18457,       0,    1,                                        ,                                        ,                 H2O, 1753442407.64,         0.193,         2.163,        68.504,         0.001,        -0.011,         1.630,       233.590,       -10.129,         6.119,       110.517,         0.727,       -19.053,        0.0000,        0.0000,    1,        43.500,         1,      27,       2,20250722_TristanCaro,       0,       1
    55,    P-2552,   2025/07/25 04:26:17,           1-28,       1,        -6.354,     13970.709,         18860,      -1,    1,                                        ,                                        ,                 H2O, 1753443083.36,         0.183,         2.446,        69.370,         0.000,         0.028,         1.651,       243.425,       -10.257,         6.202,       111.254,         0.727,       -19.247,       -0.0000,       -0.0000,    1,        43.438,         1,      28,       2,20250722_TristanCaro,       0,       1
    56,    P-2552,   2025/07/25 04:35:17,           1-28,       2,        -6.197,     13888.430,         18855,      -1,    1,                                        ,                                        ,                 H2O, 1753443622.92,         0.176,         2.185,        70.342,         0.001,         0.025,         1.675,       243.081,       -10.321,         6.176,       111.796,         0.727,       -19.070,        0.0000,        0.0000,    1,        43.438,         1,      28,       2,20250722_TristanCaro,       0,       1
    57,    P-2552,   2025/07/25 04:44:17,           1-28,       3,        -5.953,     13859.146,         19294,      -1,    1,                                        ,                                        ,                 H2O, 1753444163.62,         0.204,         2.178,        69.323,         0.001,        -0.004,         1.646,       246.602,       -10.480,         6.310,       112.805,         0.728,       -19.788,        0.0000,        0.0000,    1,        43.500,         1,      28,       2,20250722_TristanCaro,       0,       1
    58,    P-2552,   2025/07/25 04:53:18,           1-28,       4,        -6.280,     13908.338,         18679,       0,    1,                                        ,                                        ,                 H2O, 1753444704.51,         0.189,         2.112,        71.935,         0.000,         0.006,         1.707,       241.670,        -9.816,         6.126,       110.531,         0.729,       -18.763,        0.0000,        0.0000,    1,        43.438,         1,      28,       2,20250722_TristanCaro,       0,       1
    59,    P-2552,   2025/07/25 05:02:19,           1-28,       5,        -6.266,     13937.648,         18573,       0,    1,                                        ,                                        ,                 H2O, 1753445245.29,         0.189,         2.280,        70.737,         0.000,        -0.005,         1.682,       240.688,        -9.306,         6.036,       110.761,         0.727,       -18.575,       -0.0000,       -0.0000,    1,        43.438,         1,      28,       2,20250722_TristanCaro,       0,       1
    60,    P-2552,   2025/07/25 05:11:18,           1-28,       6,        -6.328,     13946.036,         18597,       0,    1,                                        ,                                        ,                 H2O, 1753445784.08,         0.199,         2.137,        70.628,        -0.000,        -0.009,         1.684,       241.234,       -10.087,         6.160,       110.383,         0.729,       -18.791,       -0.0000,       -0.0000,    1,        43.500,         1,      28,       2,20250722_TristanCaro,       0,       1
    61,    P-2552,   2025/07/25 05:20:18,           1-28,       7,        -6.263,     13959.129,         18801,       0,    1,                                        ,                                        ,                 H2O, 1753446323.44,         0.205,         2.466,        68.379,         0.000,        -0.030,         1.626,       242.719,       -10.132,         6.187,       111.521,         0.727,       -19.055,       -0.0000,       -0.0000,    1,        43.438,         1,      28,       2,20250722_TristanCaro,       0,       1
    62,    P-2552,   2025/07/25 05:29:18,           1-28,       8,        -6.279,     13956.197,         18217,       0,    1,                                        ,                                        ,                 H2O, 1753446863.99,         0.207,         2.231,        70.636,         0.000,        -0.017,         1.688,       237.594,        -9.079,         5.928,       109.880,         0.727,       -18.112,        0.0000,        0.0000,    1,        43.500,         1,      28,       2,20250722_TristanCaro,       0,       1
    63,    P-2552,   2025/07/25 05:38:17,           1-28,       9,        -6.287,     13957.681,         18349,       0,    1,                                        ,                                        ,                 H2O, 1753447402.98,         0.195,         2.225,        70.771,         0.001,        -0.012,         1.682,       238.727,        -9.218,         5.992,       110.475,         0.728,       -18.290,        0.0000,        0.0000,    1,        43.438,         1,      28,       2,20250722_TristanCaro,       0,       1
    64,    P-2553,   2025/07/25 05:49:30,           1-29,       1,        -7.266,     19770.348,         18945,      -1,    1,                                        ,                                        ,                 H2O, 1753448075.79,         0.260,        21.536,        67.985,         0.000,        -0.498,         1.623,       221.661,       -21.957,         7.707,       133.664,         0.748,       -25.344,       -0.0000,       -0.0000,    1,        43.500,         1,      29,       2,20250722_TristanCaro,       0,       1
    65,    P-2553,   2025/07/25 05:58:29,           1-29,       2,        -7.173,     20216.450,         18698,      -1,    1,                                        ,                                        ,                 H2O, 1753448614.70,         0.280,        21.645,        73.213,         0.000,        -0.505,         1.744,       219.903,       -22.295,         7.728,       133.527,         0.750,       -25.463,       -0.0000,       -0.0000,    1,        43.438,         1,      29,       2,20250722_TristanCaro,       0,       1
    66,    P-2553,   2025/07/25 06:07:29,           1-29,       3,        -7.183,     20334.309,         18373,      -1,    1,                                        ,                                        ,                 H2O, 1753449155.23,         0.252,        18.843,        71.728,        -0.000,        -0.439,         1.706,       217.346,       -21.339,         7.548,       131.193,         0.745,       -25.040,       -0.0000,       -0.0000,    1,        43.438,         1,      29,       2,20250722_TristanCaro,       0,       1
    67,    P-2553,   2025/07/25 06:16:29,           1-29,       4,        -7.167,     20413.235,         18709,       0,    1,                                        ,                                        ,                 H2O, 1753449694.78,         0.256,        16.718,        71.259,         0.000,        -0.389,         1.704,       219.800,       -22.033,         7.676,       134.331,         0.745,       -25.469,        0.0000,        0.0000,    1,        43.500,         1,      29,       2,20250722_TristanCaro,       0,       1
    68,    P-2553,   2025/07/25 06:25:28,           1-29,       5,        -7.196,     20453.144,         18353,       0,    1,                                        ,                                        ,                 H2O, 1753450234.32,         0.279,        15.109,        68.825,         0.001,        -0.346,         1.643,       217.418,       -21.796,         7.577,       131.493,         0.747,       -25.304,        0.0000,        0.0000,    1,        43.438,         1,      29,       2,20250722_TristanCaro,       0,       1
    69,    P-2553,   2025/07/25 06:34:29,           1-29,       6,        -7.220,     20486.846,         18485,       0,    1,                                        ,                                        ,                 H2O, 1753450775.09,         0.250,        15.076,        68.539,        -0.000,        -0.349,         1.632,       218.439,       -21.649,         7.636,       131.513,         0.744,       -25.696,        0.0000,        0.0000,    1,        43.438,         1,      29,       2,20250722_TristanCaro,       0,       1
    70,    P-2553,   2025/07/25 06:43:30,           1-29,       7,        -7.188,     20505.798,         18369,       0,    1,                                        ,                                        ,                 H2O, 1753451315.39,         0.239,        12.808,        70.915,         0.000,        -0.287,         1.680,       217.476,       -21.467,         7.571,       130.641,         0.744,       -25.440,       -0.0000,       -0.0000,    1,        43.438,         1,      29,       2,20250722_TristanCaro,       0,       1
    71,    P-2553,   2025/07/25 06:52:28,           1-29,       8,        -7.262,     20521.213,         18554,       0,    1,                                        ,                                        ,                 H2O, 1753451854.81,         0.253,        12.608,        69.283,         0.001,        -0.283,         1.656,       218.980,       -22.263,         7.697,       132.298,         0.745,       -25.813,       -0.0000,       -0.0000,    1,        43.438,         1,      29,       2,20250722_TristanCaro,       0,       1
    72,    P-2553,   2025/07/25 07:01:28,           1-29,       9,        -7.210,     20535.033,         18607,       0,    1,                                        ,                                        ,                 H2O, 1753452393.58,         0.262,        12.990,        67.960,        -0.000,        -0.296,         1.623,       219.378,       -22.333,         7.702,       132.736,         0.745,       -25.921,        0.0000,        0.0000,    1,        43.500,         1,      29,       2,20250722_TristanCaro,       0,       1
