SampleID,CH4_ppm,CO_ppm,H2_ppm,CH4_mV.s,CO_mV.s,H2_mV.s
JCR-ROS-pre-12,3.021434802574536,8.675711259995806,0.9474254415998681,633.792,1438.385,41.301
JCR-ROS-pre-15,3.1450447914695525,7.817747103412172,1.0461180111424084,659.224,1296.977,45.451
JCR-ROS-pre-2,3.3861066277083904,3.1745730836525565,1.9764678938107765,708.821,531.698,84.572
JCR-ROS-pre-3,3.1062052420334054,2.735349410144675,1.1498284438592805,651.233,459.306,49.812
JCR-ROS-pre-8,3.324418283140305,6.101909799681063,1.236083371505255,696.129,1014.176,53.439
JCR-SKY-0.5hr-1,3.0762019209635354,1.5822173829056514,0.6324415660357838,645.06,269.249,28.056
JCR-SKY-0.5hr-12,2.431298202162998,1.4519768124625059,0.2843778436684049,512.375,247.783,13.42
JCR-SKY-0.5hr-15,2.587263951362911,1.8566533040034037,0.29698195495937996,544.464,314.481,13.95
JCR-SKY-0.5hr-2,3.041095167668918,1.6853492759640967,0.8432156006997685,637.837,286.247,36.919
JCR-SKY-0.5hr-3,2.700205336702385,1.1696291377144292,0.509492027593631,567.701,201.247,22.886
JCR-SKY-0.5hr-8,2.9855649646520277,1.6762422650521818,0.2904896485774249,626.412,284.746,13.677
JCR-SKY-1h-1,2.2363811140591583,1.4034323792138519,0.7292554095557073,472.272,239.782,32.127
JCR-SKY-1h-12,2.50672693044476,1.9591541983044611,0.29548373040969805,527.894,331.375,13.887
JCR-SKY-1h-15,2.6237899448571724,1.404991674220089,0.41077567670903203,551.979,240.039,18.735
JCR-SKY-1h-2,2.4092416541288055,1.014858490577832,0.8758436020039531,507.837,175.738,38.291
JCR-SKY-1h-3,2.8732651536493794,1.0451889020026566,0.7952486337678881,603.307,180.737,34.902
JCR-SKY-1h-8,2.5135801108608486,1.2198420772927143,0.23041797853779664,529.304,209.523,11.151
JCR-SKY-24h-1,2.7139116975345625,6.067295877460894,0.5079462403598322,570.521,1008.471,22.821
JCR-SKY-24h-12,2.779313396597607,6.149186168119197,0.6801469382050215,583.977,1021.968,30.062
JCR-SKY-24h-15,2.6925744904234774,1.0966153007297645,0.27400917853092355,566.131,189.213,12.984
JCR-SKY-24h-2,2.6834563581819295,1.1484785447504486,0.3987423176274596,564.255,197.761,18.229
JCR-SKY-24h-3,2.2144314950811035,0.8028853791657303,0.2239970161820169,467.756,140.801,10.881
JCR-SKY-24h-8,2.3999436866564805,3.4333735836177275,0.7262827417984019,505.924,574.353,32.002
JCR-SKY-48h-1,2.6922585636667073,7.30557633317281,0.9376513100138477,566.066,1212.562,40.89
JCR-SKY-48h-12,2.972718896680593,3.7301068165750983,1.186261459892816,623.769,623.26,51.344
JCR-SKY-48h-15,2.2118846393803726,1.5937391775237235,0.38773155625440026,467.232,271.148,17.766
JCR-SKY-48h-2,2.903691330532157,0.8606945730156461,0.5407882737425427,609.567,150.329,24.202
JCR-SKY-48h-3,2.373298910031658,4.587822214033224,0.871444053723141,500.442,764.627,38.106
JCR-SKY-48h-8,2.5281127416722713,1.8661789583216621,0.4839984289069796,532.294,316.051,21.814
JCR-SKY-6h-1,2.6173644806656338,1.4998659777707954,0.8540836740204772,550.657,255.676,37.376
JCR-SKY-6h-12,2.0647648393700213,0.7849019145801772,NA,436.963,137.837,NA
JCR-SKY-6h-15,2.056827787157629,0.9113079541130428,NA,435.33,158.671,NA
JCR-SKY-6h-2,2.421101058536789,0.9653675591930961,0.5919181591681961,510.277,167.581,26.352
JCR-SKY-6h-3,2.352292210912271,0.9875920635037848,0.35366478375568006,496.12,171.244,16.3335
JCR-SKY-6h-8,2.115060379047814,0.798274234400204,NA,447.311,140.041,NA
JCR-SKY-pre-1,3.256309334792323,5.166927390921648,0.8076624943223956,682.116,860.074,35.424
JCR-SKY-pre-12,3.4799660369389525,3.5040697136281413,1.1345846035998182,728.132,586.005,49.171
JCR-SKY-pre-15,2.51928623412928,1.5434534303965088,NA,530.478,262.86,NA
JCR-SKY-pre-2,2.463824076875386,2.2043396866198415,0.37467559946431483,519.067,371.786,17.217
JCR-SKY-pre-3,3.22763776651253,9.202370732472112,0.8616937034791792,676.217,1525.188,37.696
JCR-SKY-pre-8,3.244002772513219,6.947169038976524,0.7351056197020843,679.584,1153.49,32.373
LOM-AMBIENT--A,2.1359066845829955,3.045115194360402,1.6189154159620787,451.6,510.361,69.537
LOM-AMBIENT--B,2.6185018169900056,2.5109868808230935,1.6425540699681713,550.891,422.327,70.531
LOM-BLANK--A,0.8869218443682547,-0.044169779669987884,NA,194.629,1.191,NA
LOM-BLANK--B,1.6096115910972224,-0.028710310113986094,NA,343.318,3.739,NA
LOM-ROS-0.5h-1,2.0823692503395774,9.999953161810327,1.1777239580938348,440.585,1656.644,50.985
LOM-ROS-0.5h-12,2.1498560659973043,3.7971565018432996,1.313515421247547,454.47,634.311,56.695
LOM-ROS-0.5h-15,2.1725687696032496,3.029977291478838,0.8327042475099365,459.143,507.866,36.477
LOM-ROS-0.5h-2,2.2924751248265927,2.736848032193471,1.197747848107044,483.813,459.553,51.827
LOM-ROS-0.5h-3,2.124231975817431,3.6619832199601894,1.190494538779219,449.198,612.032,51.522
LOM-ROS-0.5h-8,2.1433090915146997,3.495138654292806,1.0470217021406292,453.123,584.533,45.489
LOM-ROS-1h-1,2.13526511024617,5.066835213031004,1.0716591725131768,451.468,843.577,46.525
LOM-ROS-1h-12,2.2372073840384035,3.7764184849899185,0.9237392249096583,472.442,630.893,40.305
LOM-ROS-1h-15,2.1773319730130134,4.0690684279115,0.9684719293215904,460.123,679.127,42.186
LOM-ROS-1h-2,2.1087855876171964,2.776212646981281,0.9313254730263018,446.02,466.041,40.624
LOM-ROS-1h-3,2.0984280504067816,4.3819649367311895,1.0930148176816592,443.889,730.698,47.423
LOM-ROS-1h-8,2.0983891671136403,4.955391124803122,1.044857600013311,443.881,825.209,45.398
LOM-ROS-24h-1,NA,8.31979762435035,1.6924948882909026,NA,1379.724,72.631
LOM-ROS-24h-12,2.208871184161951,3.208452863087688,0.8781028294995052,466.612,537.282,38.386
LOM-ROS-24h-15,2.1861341784977917,2.1474284525400544,0.5672331261115318,461.934,362.406,25.314
LOM-ROS-24h-2,NA,4.839056796205486,1.036058503451687,NA,806.035,45.028
LOM-ROS-24h-3,NA,2.683601444743129,1.2489015148747562,NA,450.777,53.978
LOM-ROS-24h-8,NA,3.279070118253428,0.9872354082057024,NA,548.921,42.975
LOM-ROS-48h-1,2.285592781940648,4.000150015554112,0.792561342115284,482.397,667.768,34.789
LOM-ROS-48h-12,2.2306069450277306,2.513571548810086,0.9254039188537493,471.084,422.753,40.375
LOM-ROS-48h-15,2.2257805562666126,4.012217866789154,0.5586242802863752,470.091,669.757,24.952
LOM-ROS-48h-2,2.185103771229557,2.7945176782412724,1.556370486348372,461.722,469.058,66.907
LOM-ROS-48h-3,2.313088130602928,2.5660233205179495,1.5818640850350234,488.054,431.398,67.979
LOM-ROS-48h-8,2.2858552441693494,3.4711728361035563,1.0360347221096284,482.451,580.583,45.027
LOM-ROS-6h-1,NA,5.161375815315784,1.1175096000018558,NA,859.159,48.453
LOM-ROS-6h-12,NA,2.7007354879245065,0.6850458946690609,NA,453.601,30.268
LOM-ROS-6h-15,NA,3.9306430755095456,0.9007902298232604,NA,656.312,39.34
LOM-ROS-6h-2,NA,3.777607674955765,1.6295694572042612,NA,631.089,69.985
LOM-ROS-6h-3,NA,3.6114851174819305,0.8076387129803372,NA,603.709,35.423
LOM-ROS-6h-8,NA,3.582064800418723,0.9134656851404106,NA,598.86,39.873
LOM-ROS-pre-1,2.183533858268992,4.899517398295579,0.9660700137736877,461.399,816,42.085
LOM-ROS-pre-12,2.2765183934038835,3.0035966895834316,0.813798080573474,480.53,503.518,35.682
LOM-ROS-pre-15,2.213969755975055,4.657304884894815,0.8544166128092955,467.661,776.079,37.39
LOM-ROS-pre-2,2.17686051308368,2.595771271551339,1.4129452123938993,460.026,436.301,60.876
LOM-ROS-pre-3,2.308490181189013,4.6359419365797905,1.0127527882344123,487.108,772.558,44.048
LOM-ROS-pre-8,2.1976241916209367,3.9951384292694745,0.8376745480001513,464.298,666.942,36.686
LOM-SKY-0.5h-1,2.135508130828301,3.487954976131775,1.507095545603277,451.518,583.349,64.835
LOM-SKY-0.5h-12,2.109339674544455,4.136530689290301,0.8324902154314107,446.134,690.246,36.468
LOM-SKY-0.5h-15,2.0793314930629423,3.1085973097310635,0.7179354907358882,439.96,520.824,31.651
LOM-SKY-0.5h-2,2.216074314216308,2.8950770379042132,1.085238318828548,468.094,485.632,47.096
LOM-SKY-0.5h-3,2.154546363232429,3.8888212059453693,1.065927869077092,455.435,649.419,46.284
LOM-SKY-0.5h-8,2.2303396223873864,3.359831891903325,1.3063334559458972,471.029,562.232,56.393
LOM-SKY-1h-1,2.211967266378297,4.835313274731368,1.1562018435309434,467.249,805.418,50.08
LOM-SKY-1h-12,2.2811309240527264,2.1469491361762696,0.5894686809361764,481.479,362.327,26.249
LOM-SKY-1h-15,2.1240570009982966,4.554767586819293,0.7706111633953406,449.162,759.179,33.866
LOM-SKY-1h-2,2.1225697150356564,4.264028842057107,0.8303974573302676,448.856,711.26,36.38
LOM-SKY-1h-3,2.1162365986653273,4.192816991908444,1.2009821106269924,447.553,699.523,51.963
LOM-SKY-1h-8,2.1638880744095372,2.5334419423720584,0.7893746422794525,457.357,426.028,34.655
LOM-SKY-24h-1,2.1389444418596306,3.0972757358725476,1.438034528265557,452.225,518.958,61.931
LOM-SKY-24h-12,2.2161812432724455,3.53943598052058,0.8624309250829909,468.116,591.834,37.727
LOM-SKY-24h-15,2.0698342487132697,3.401993530029172,1.3964171796632812,438.006,569.181,60.181
LOM-SKY-24h-2,2.126730227401736,2.660545720915497,0.9602435849693691,449.712,446.977,41.84
LOM-SKY-24h-3,2.1292819435141097,3.2479570256776125,1.0201012229304713,450.237,543.793,44.357
LOM-SKY-24h-8,2.182960329695163,2.9873909426509035,0.8435961021727038,461.281,500.847,36.935
LOM-SKY-48h-1,2.225328537983849,3.4677448140081326,1.186641961365751,469.998,580.018,51.36
LOM-SKY-48h-12,2.1915729791258793,3.381789435201273,1.6082851560619542,463.053,565.851,69.09
LOM-SKY-48h-15,2.1886664529635946,3.288529032318501,0.9723007253929999,462.455,550.48,42.347
LOM-SKY-48h-2,2.2055952667148273,2.834137119450335,0.8878056170593501,465.938,475.588,38.794
LOM-SKY-48h-3,2.2533633923384597,2.268889646041467,0.9235965368573076,475.766,382.425,40.299
LOM-SKY-48h-8,2.1767098403227587,2.4388588690170696,1.4777731508452163,459.995,410.439,63.602
LOM-SKY-6h-1,NA,2.6727409853611657,1.1329199096557272,NA,448.987,49.101
LOM-SKY-6h-12,NA,2.9778349518539247,0.7113004963015824,NA,499.272,31.372
LOM-SKY-6h-15,NA,3.49918554055413,0.8721812753269528,NA,585.2,38.137
LOM-SKY-6h-2,NA,2.397388902606052,1.0606484111401173,NA,403.604,46.062
LOM-SKY-6h-3,NA,2.710418891932112,1.1494003797022285,NA,455.197,49.794
LOM-SKY-6h-8,NA,3.65862193811795,0.9744172648362014,NA,611.478,42.436
LOM-SKY-pre-1,2.212681746889762,3.779615949847066,1.0008621172051906,467.396,631.42,43.548
LOM-SKY-pre-12,2.149287397835118,3.231648134717435,0.619528297298049,454.353,541.105,27.513
LOM-SKY-pre-15,2.1025010753632936,4.19058422707461,0.5272329087692299,444.727,699.155,23.632
LOM-SKY-pre-2,NA,NA,-0.02920293271423098,NA,NA,0.234
LOM-SKY-pre-3,2.136494794391752,4.546036748243513,0.9231684727002556,451.721,757.74,40.281
LOM-SKY-pre-8,2.3566374189207697,5.021797676722447,1.132634533551026,497.014,836.154,49.089
PAL-AMBIENT--A,2.417582120507535,3.0582630242378963,0.9654754802222266,509.553,512.528,42.06
PAL-AMBIENT--B,2.293534694564683,1.408832272426113,0.8328469355622872,484.031,240.672,36.483
PAL-ROS-0.5h-1,4.290799348806766,10.539912146557727,1.758583237871317,894.956,1745.639,75.41
PAL-ROS-0.5h-12,3.691714730561172,7.185807915184005,1.4517087999491622,771.698,1192.822,62.506
PAL-ROS-0.5h-15,2.53944236121121,2.2019127683221957,0.18537611667910467,534.625,371.386,9.257
PAL-ROS-0.5h-2,2.039869810936541,2.101590033193275,0.5155324884764757,431.841,354.851,23.14
PAL-ROS-0.5h-3,2.4108018462660854,4.946551074903949,1.4962988163087438,508.158,823.752,64.381
PAL-ROS-0.5h-8,2.3732746079734452,2.5558484655550706,0.28666085250601553,500.437,429.721,13.516
PAL-ROS-1h-1,2.6606513067547737,2.101365543250743,0.39512755363457625,559.563,354.814,18.077
PAL-ROS-1h-12,2.5485799350993283,2.7643207473228184,0.3569584996307745,536.505,464.081,16.472
PAL-ROS-1h-15,2.6677280661064233,3.620907627772539,0.6015020400177489,561.019,605.262,26.755
PAL-ROS-1h-2,2.608460206536361,2.691913639912565,0.8968425270415586,548.825,452.147,39.174
PAL-ROS-1h-3,2.4765826574372536,2.181277895496465,0.49791051401116904,521.692,367.985,22.399
PAL-ROS-1h-8,2.4490630067167602,2.620804933791552,0.4289684033837413,516.03,440.427,19.5
PAL-ROS-24h-1,1.1485383614437172,2.016113970750201,0.6565796282251041,248.455,340.763,29.071
PAL-ROS-24h-12,1.1098640660034196,NA,0.8876629290069994,240.498,NA,38.788
PAL-ROS-24h-15,1.1083184551010676,NA,0.8288278887544103,240.18,NA,36.314
PAL-ROS-24h-2,1.1531557525042024,1.284264623503714,0.3735816577296264,249.405,220.141,17.171
PAL-ROS-24h-3,1.1611900129494472,1.9242429785928306,0.365995409612983,251.058,325.621,16.852
PAL-ROS-24h-8,1.1527134550447244,1.6790453556859626,0.13153515825878861,249.314,285.208,6.993
PAL-ROS-48h-1,1.1582251618474513,NA,0.3122495765609007,250.448,NA,14.592
PAL-ROS-48h-12,2.477515856472636,1.5534159300083434,0.19358067968926768,521.884,264.502,9.602
PAL-ROS-48h-15,3.0055023732100397,2.3009006983874114,0.7975792052896156,630.514,387.701,35
PAL-ROS-48h-2,1.1350944628402404,NA,0.418980239719195,245.689,NA,19.08
PAL-ROS-48h-3,1.1386620049859209,2.0790925005741014,0.32566225348186284,246.423,351.143,15.156
PAL-ROS-48h-8,1.1695158980932487,NA,NA,252.771,NA,NA
PAL-ROS-pre-1,2.6175394554847675,3.165332592234271,0.510348155907735,550.693,530.175,22.922
PAL-ROS-pre-12,2.1287424378217787,2.2773535236045057,0.3310368367870711,450.126,383.82,15.382
PAL-ROS-pre-15,2.04265482680776,2.6342682630477405,0.4474940688472688,432.414,442.646,20.279
PAL-ROS-pre-2,2.6105744856008988,3.0285150732045065,0.5330355562314901,549.26,507.625,23.876
PAL-ROS-pre-3,2.385401335021773,2.410294040653782,0.2740805225570989,502.932,405.731,12.987
PAL-ROS-pre-8,2.1727583256573118,2.5251176126111345,0.5664245604815448,459.182,424.656,25.28
PAL-SKY-0.5h-1,2.1066956106108714,1.9978999489263716,0.2886109225548079,445.59,337.761,13.598
PAL-SKY-0.5h-12,2.8968770334092087,3.0534091876426053,0.270656009300683,608.165,511.728,12.843
PAL-SKY-0.5h-15,2.5771202722647706,2.4802196241046928,0.3707278966826132,542.377,417.256,17.051
PAL-SKY-0.5h-2,2.7628122990709247,3.8411140595094033,1.3117793832772808,580.582,641.556,56.622
PAL-SKY-0.5h-3,2.373196841387163,1.919352738223075,0.36625700437562586,500.421,324.815,16.863
PAL-SKY-0.5h-8,2.7269910652648433,2.826188962025546,0.42366516410470845,573.212,474.278,19.277
PAL-SKY-1h-1,2.3564624441016355,2.42204639251013,0.5586480616284337,496.978,407.668,24.953
PAL-SKY-1h-12,2.2321622767533675,2.004901608215079,0.26794493630602045,471.404,338.915,12.729
PAL-SKY-1h-15,2.1537492557230395,1.8559252285141101,0.1920111111134104,455.271,314.361,9.536
PAL-SKY-1h-2,2.3313632783791656,1.9752446666178507,0.42035955755858484,491.814,334.027,19.138
PAL-SKY-1h-3,2.2714246820024218,1.9015876962843101,0.49196517849655813,479.482,321.887,22.149
PAL-SKY-1h-8,2.3015835362448556,2.7675121448842224,0.33988349603281204,485.687,464.607,15.754
PAL-SKY-24h-1,1.1369803025575755,NA,0.4986715169570392,246.077,NA,22.431
PAL-SKY-24h-12,1.1028310503565537,NA,0.9485669460186732,239.051,NA,41.349
PAL-SKY-24h-15,1.128323909422076,NA,0.8644523391579586,244.296,NA,37.812
PAL-SKY-24h-2,1.1496951394146597,1.896788465350716,1.1644777505672816,248.693,321.096,50.428
PAL-SKY-24h-3,1.1178205598623823,2.855160299203689,0.6048314279059309,242.135,479.053,26.895
PAL-SKY-24h-8,1.1257576120747748,3.893365610457711,0.4192180531397795,243.768,650.168,19.09
PAL-SKY-48h-1,3.348185696072698,3.48470290561293,0.7464968825480788,701.019,582.813,32.852
PAL-SKY-48h-12,2.9157986159339138,2.2691505397584644,0.2872553860574766,612.058,382.468,13.541
PAL-SKY-48h-15,3.7624142783146683,4.055859925076565,0.5304909526312366,786.244,676.95,23.769
PAL-SKY-48h-2,2.8570751224678244,4.174882065688844,1.0971765525418866,599.976,696.567,47.598
PAL-SKY-48h-3,2.8339055401674726,6.145290964251476,1.2345375842714563,595.209,1021.326,53.374
PAL-SKY-48h-8,3.2334410980138135,3.0755244806299,0.3903237225387706,677.411,515.373,17.875
PAL-SKY-pre-1,NA,NA,NA,NA,NA,NA
PAL-SKY-pre-12,2.377926021915429,2.9213726976592023,0.30276082107958174,501.394,489.966,14.193
PAL-SKY-pre-15,2.2073644565527397,2.337268069077629,0.35410473858376124,466.302,393.695,16.352
PAL-SKY-pre-2,1.3812694521271112,0.16273107250003455,0.7603138422840345,296.338,35.292,33.433
PAL-SKY-pre-3,2.2326191554477735,2.8878144848985094,0.7628108832001711,471.498,484.435,33.538
PAL-SKY-pre-8,3.063054507470259,11.118289247956858,1.2964879803337015,642.355,1840.966,55.979
