genome	n_ribosomal_proteins	syn_GC_skew	syn_AT_skew	nonsyn_GC_skew	nonsyn_AT_skew	syn_G	syn_C	syn_A	syn_T	nonsyn_G	nonsyn_C	nonsyn_A	nonsyn_T
JSP__binette_bin31	22	-0.172652	-0.067729	0.162602	0.213140	599	849	117	134	1859	1339	1551	1006
JSP__binette_bin35	23	0.031125	-0.064516	0.162551	0.224712	646	607	319	363	2142	1543	2022	1280
JSP__binette_bin36	23	-0.025802	-0.238806	0.203055	0.178716	774	815	51	83	1890	1252	1451	1011
JSP__binette_bin4	25	-0.084095	-0.135211	0.200686	0.245018	501	593	307	403	2100	1398	2124	1288
JSP__binette_bin42	14	-0.148106	-0.150259	0.225060	0.179149	371	500	82	111	1271	804	984	685
JS__binette_bin1	18	-0.063181	-0.052083	0.169785	0.194752	645	732	91	101	1688	1198	1457	982
JS__binette_bin10	16	-0.108875	-0.185567	0.158204	0.159541	487	606	79	115	1380	1003	1112	806
JS__binette_bin12	16	0.056838	0.091837	0.174188	0.151544	595	531	107	89	1392	979	1193	879
JS__binette_bin13	31	-0.100539	-0.216216	0.165686	0.214577	917	1122	87	135	2378	1702	1933	1250
JS__binette_bin14	22	-0.027834	-0.104089	0.180285	0.173042	716	757	241	297	2239	1555	1932	1362
JS__binette_bin19	9	-0.006329	-0.039301	0.174359	0.138411	314	318	110	119	916	644	695	526
JS__binette_bin2	16	0.000000	-0.214008	0.173941	0.231070	548	548	202	312	1802	1268	1886	1178
JS__binette_bin3	6	0.061372	0.094891	0.112323	0.022059	441	390	75	62	1020	814	695	665
JS__binette_bin30	7	-0.177829	-0.170732	0.132948	0.195911	178	255	17	24	490	375	351	236
JS__binette_bin32	29	-0.071945	-0.171459	0.139508	0.114158	1477	1706	389	550	4423	3340	3372	2681
JS__binette_bin4	9	-0.045226	-0.125320	0.216130	0.155359	380	416	171	220	1342	865	1175	859
JS__binette_bin5	8	-0.132409	-0.350000	0.203625	0.196512	344	449	26	54	996	659	892	599
JS__binette_bin6	25	-0.071633	-0.114019	0.158721	0.158691	972	1122	237	298	2880	2091	2373	1723
JS__binette_bin7	33	-0.181713	-0.182796	0.156097	0.195481	1056	1525	76	110	2944	2149	2275	1531
JS__binette_bin8	32	-0.130401	-0.357616	0.175616	0.121516	1127	1465	194	410	3481	2441	2515	1970
JS__binette_bin9	3	-0.056604	-0.238095	0.197708	0.189873	75	84	8	13	209	140	141	96
LRP__binette_bin14	35	0.008872	-0.077491	0.166216	0.222705	1194	1173	125	146	2803	2004	2391	1520
LRP__binette_bin15	24	-0.157704	-0.058252	0.170561	0.209992	697	958	97	109	2004	1420	1550	1012
LRP__binette_bin17	22	-0.096957	-0.179104	0.175953	0.194729	638	775	55	79	1604	1124	1224	825
LRP__binette_bin2	7	-0.043189	-0.095238	0.210443	0.043379	288	314	19	23	765	499	457	419
LRP__binette_bin21	13	-0.091644	-0.270833	0.174142	0.220690	337	405	35	61	890	626	708	452
LRP__binette_bin22	8	0.002353	-0.100000	0.186732	0.185535	213	212	18	22	483	331	377	259
LRP__binette_bin29	20	-0.210054	-0.304348	0.205184	0.221638	660	1011	24	45	1953	1288	1976	1259
LRP__binette_bin35	14	-0.179567	-0.321637	0.139651	0.199671	265	381	58	113	914	690	730	487
LRP__binette_bin4	29	-0.163714	-0.296167	0.149704	0.235167	779	1084	101	186	2327	1721	2290	1418
LRP__binette_bin7	22	-0.103309	-0.296296	0.173886	0.191809	664	817	76	140	1870	1316	1426	967
LRP__binette_bin9	49	0.020967	-0.014085	0.212977	0.202966	1193	1144	595	612	4038	2620	3731	2472
LR__binette_bin1	16	-0.133475	0.122449	0.171265	0.177778	409	535	55	43	1125	796	848	592
LR__binette_bin13	39	-0.110343	-0.109677	0.159425	0.198846	1415	1766	138	172	3789	2747	3117	2083
LR__binette_bin14	18	-0.042017	-0.307479	0.190504	0.281996	57	62	250	472	1028	699	1182	662
LR__binette_bin18	32	-0.172598	-0.169697	0.160403	0.212137	930	1318	137	193	2825	2044	2377	1545
LR__binette_bin19	37	-0.044491	-0.075665	0.198940	0.191121	1149	1256	226	263	3167	2116	2549	1731
LR__binette_bin21	38	0.062790	0.016043	0.197061	0.219670	1261	1112	475	460	3666	2459	3398	2174
LR__binette_bin22	15	-0.194231	-0.115152	0.145623	0.191332	419	621	73	92	1302	971	1127	765
LR__binette_bin24	13	-0.045708	-0.036145	0.189791	0.109480	428	469	120	129	1282	873	907	728
LR__binette_bin27	17	-0.240838	-0.086614	0.143140	0.253819	290	474	116	138	1154	865	1067	635
LR__binette_bin28	27	-0.133635	-0.399293	0.182854	0.208126	671	878	85	198	1973	1363	1576	1033
LR__binette_bin3	39	-0.025263	-0.047022	0.177782	0.216019	1389	1461	152	167	3435	2398	3006	1938
LR__binette_bin31	20	-0.071553	-0.354067	0.164686	0.173055	532	614	135	283	1715	1230	1515	1068
LR__binette_bin5	22	-0.233234	-0.146667	0.161989	0.202116	646	1039	96	129	2091	1508	1591	1056
LR__binette_bin9	17	-0.126233	-0.059259	0.173821	0.166843	443	571	127	143	1381	972	1105	789
LSP__binette_bin1	64	0.000000	-0.522770	0.201059	0.202014	1377	1377	634	2023	6123	4073	5730	3804
LSP__binette_bin14	34	-0.147727	-0.284345	0.177864	0.207062	600	808	448	804	3033	2117	2769	1819
LSP__binette_bin17	53	-0.302007	-0.484932	0.123237	0.174803	1374	2563	188	542	4817	3760	3646	2561
LSP__binette_bin18	28	-0.116707	0.096774	0.157325	0.212245	912	1153	119	98	2457	1789	2079	1351
LSP__binette_bin19	27	-0.139081	-0.046154	0.177230	0.251208	684	905	124	136	2006	1402	1813	1085
LSP__binette_bin2	54	0.008589	-0.104982	0.187477	0.246396	1644	1616	503	621	4836	3309	4669	2823
LSP__binette_bin20	14	-0.058824	-0.055556	0.172824	0.191983	512	576	85	95	1381	974	1130	766
LSP__binette_bin21	27	-0.093273	-0.162791	0.180406	0.199614	802	967	144	200	2241	1556	1863	1243
LSP__binette_bin3	36	-0.010834	-0.116049	0.184828	0.239684	913	933	358	452	2952	2031	2899	1778
LSP__binette_bin7	22	-0.060781	-0.213333	0.198537	0.181195	649	733	59	91	1639	1096	1206	836
LSP__binette_bin8	33	-0.089774	-0.163561	0.206549	0.182586	948	1135	202	281	2874	1890	2309	1596
LS__binette_bin1	6	-0.114943	-0.139601	0.218664	0.258907	77	97	151	200	666	427	795	468
LS__binette_bin10	12	-0.381215	-0.224242	0.180665	0.284909	112	250	192	303	977	678	1026	571
LS__binette_bin11	13	-0.119454	-0.252336	0.125662	0.113613	387	492	80	134	1169	908	1088	866
LS__binette_bin16	12	-0.061840	-0.176812	0.151767	0.143698	311	352	142	203	1108	816	971	727
LS__binette_bin18	18	-0.089219	-0.187320	0.134484	0.098770	735	879	141	206	2071	1580	1474	1209
LS__binette_bin19	28	-0.126214	-0.177570	0.145182	0.208679	630	812	220	315	2181	1628	1894	1240
LS__binette_bin2	21	-0.095583	-0.219417	0.184502	0.134855	686	831	201	314	2247	1547	1641	1251
LS__binette_bin20	25	-0.062246	0.128319	0.228850	0.220299	693	785	255	197	2266	1422	2080	1329
LS__binette_bin21	10	0.024169	-0.133047	0.166056	0.127088	339	323	101	132	955	683	776	601
LS__binette_bin26	18	-0.057908	-0.163636	0.145707	0.163422	545	612	138	192	1608	1199	1285	924
LS__binette_bin29	12	-0.261346	-0.458333	0.134741	0.241807	236	403	26	70	779	594	701	428
LS__binette_bin3	12	-0.084746	-0.218978	0.166571	0.149606	297	352	107	167	1012	723	876	648
LS__binette_bin30	19	-0.117599	-0.126761	0.171551	0.172749	544	689	62	80	1499	1060	1205	850
LS__binette_bin31	24	-0.271732	-0.245614	0.163796	0.217764	532	929	86	142	1858	1335	1563	1004
LS__binette_bin44	19	-0.146274	-0.257778	0.165644	0.255311	464	623	167	283	1710	1224	1684	999
LS__binette_bin46	27	-0.168874	-0.264095	0.123638	0.144254	1255	1765	124	213	3558	2775	2808	2100
LS__binette_bin7	34	-0.079297	-0.036011	0.201074	0.183913	1074	1259	348	374	3354	2231	2723	1877
LS__binette_bin8	52	0.065706	-0.054813	0.217356	0.212825	1257	1102	707	789	4461	2868	4123	2676
LS__binette_bin9	2	-0.023622	-0.230769	0.075697	0.349515	62	65	5	8	135	116	139	67
