genome	n_ribosomal_proteins	syn_GC_skew	syn_AT_skew	nonsyn_GC_skew	nonsyn_AT_skew	syn_G	syn_C	syn_A	syn_T	nonsyn_G	nonsyn_C	nonsyn_A	nonsyn_T
bin.JS.9	27	-0.050489	-0.145631	0.158343	0.121746	1213	1342	352	472	3676	2671	2801	2193
bin.JSP.10	27	-0.134503	-0.031746	0.138629	0.176194	888	1164	61	65	2308	1746	1749	1225
bin.JSP.11	25	-0.084095	-0.135211	0.200686	0.245018	501	593	307	403	2100	1398	2124	1288
bin.JSP.12	10	-0.050323	-0.125000	0.146055	0.106509	368	407	84	108	1024	763	748	604
bin.JSP.14	6	-0.067227	-0.156118	0.223947	0.140496	222	254	100	137	828	525	759	572
bin.JSP.15	4	-0.057592	-0.153846	0.172577	0.209150	90	101	11	15	248	175	185	121
bin.JSP.17	22	-0.148906	-0.261905	0.168768	0.221542	603	814	62	106	1669	1187	1497	954
bin.JSP.22	8	-0.136150	-0.303371	0.165488	0.198190	276	363	31	58	824	590	662	443
bin.JSP.23	34	-0.051803	-0.127517	0.178372	0.209928	1144	1269	130	168	2953	2059	2608	1703
bin.JSP.24	10	0.010373	-0.012658	0.127067	0.061623	487	477	78	80	1193	924	870	769
bin.JSP.4	15	-0.083333	-0.215947	0.155575	0.162338	407	481	118	183	1337	977	1253	903
bin.JSP.5	41	-0.126722	-0.172342	0.183297	0.253616	317	409	790	1119	3018	2083	3250	1935
bin.JSP.7	17	-0.001894	0.014327	0.176561	0.166027	527	529	177	172	1536	1075	1215	869
bin.JSP.9	33	0.080925	-0.161049	0.219016	0.295446	374	318	560	775	2577	1651	3328	1810
bin.LR.1	22	-0.233234	-0.146667	0.161989	0.202116	646	1039	96	129	2091	1508	1591	1056
bin.LR.11	21	-0.061377	-0.114551	0.197537	0.226804	627	709	286	360	2237	1499	2142	1350
bin.LR.2	16	-0.133475	0.122449	0.171265	0.177778	409	535	55	43	1125	796	848	592
bin.LR.4	35	-0.027475	-0.053333	0.181835	0.208887	1292	1365	142	158	3201	2216	2775	1816
bin.LR.5	24	-0.171533	-0.301205	0.155370	0.198883	681	963	87	162	2071	1514	1932	1291
bin.LRP.13	15	-0.152577	-0.081967	0.185665	0.181124	411	559	56	66	1191	818	851	590
bin.LRP.14	20	-0.201497	-0.188406	0.215661	0.227755	640	963	28	41	1894	1222	1911	1202
bin.LRP.7	17	-0.141104	-0.117647	0.138598	0.213232	490	651	75	95	1413	1069	1192	773
bin.LRP.8	32	-0.114151	-0.076305	0.147059	0.184717	1036	1303	115	134	2769	2059	2248	1547
bin.LRP.9	7	-0.043189	-0.095238	0.210443	0.043379	288	314	19	23	765	499	457	419
bin.LS.1	30	-0.292693	-0.359036	0.142443	0.178122	876	1601	133	282	3152	2366	2811	1961
bin.LS.10	18	-0.063574	0.146132	0.233645	0.216047	545	619	200	149	1782	1107	1652	1065
bin.LS.11	47	0.039648	-0.046701	0.221433	0.204880	1062	981	643	706	3955	2521	3605	2379
bin.LS.12	14	-0.047290	-0.146067	0.125521	0.156527	413	454	114	153	1215	944	979	714
bin.LS.13	31	-0.033670	-0.135977	0.191208	0.244651	861	921	305	401	2791	1895	2676	1624
bin.LS.15	15	-0.087302	-0.042654	0.143348	0.200922	460	548	101	110	1332	998	1303	867
bin.LS.16	19	-0.148899	-0.216162	0.179134	0.244190	483	652	194	301	1797	1251	1740	1057
bin.LS.17	11	-0.077409	-0.203065	0.165968	0.146392	292	341	104	157	973	696	834	621
bin.LS.18	25	-0.060285	-0.075085	0.159359	0.152868	1021	1152	271	315	3001	2176	2583	1898
bin.LS.2	34	-0.079297	-0.036011	0.201074	0.183913	1074	1259	348	374	3354	2231	2723	1877
bin.LS.20	19	-0.147425	-0.102439	0.185066	0.242509	480	646	92	113	1476	1015	1327	809
bin.LS.22	9	-0.221477	-0.298246	0.140065	0.184549	232	364	20	37	700	528	552	380
bin.LS.23	36	-0.111819	-0.225627	0.167020	0.247738	1116	1397	139	220	3029	2162	2551	1538
bin.LS.24	11	0.020057	-0.138075	0.161440	0.136208	356	342	103	136	1000	722	830	631
bin.LS.25	23	-0.267165	-0.376623	0.168698	0.241463	539	932	48	106	1822	1296	1527	933
bin.LS.26	57	-0.058350	-0.306755	0.196248	0.260059	234	263	1052	1983	4145	2785	4494	2639
bin.LS.27	13	-0.074581	-0.139785	0.156504	0.098109	304	353	160	212	1138	830	929	763
bin.LS.28	29	-0.155771	-0.275954	0.174929	0.208292	523	716	408	719	2690	1889	2448	1604
bin.LS.29	18	-0.112530	-0.381503	0.136500	0.152384	556	697	107	239	1711	1300	1607	1182
bin.LS.30	5	-0.168142	-0.333333	0.152589	0.076923	141	198	12	24	423	311	273	234
bin.LS.31	10	-0.083056	-0.046358	0.198324	0.133032	276	326	72	79	858	574	626	479
bin.LS.32	35	0.023979	0.003681	0.216241	0.219524	790	753	409	406	2666	1718	2536	1623
bin.LS.4	13	-0.110540	-0.168000	0.128088	0.075812	519	648	104	146	1484	1147	1043	896
bin.LS.5	8	-0.195652	-0.107143	0.198074	0.167397	296	440	25	31	871	583	666	475
bin.LS.6	23	-0.226633	-0.288703	0.162682	0.210132	604	958	85	154	1994	1436	1696	1107
bin.LS.7	28	-0.126214	-0.177570	0.145182	0.208679	630	812	220	315	2181	1628	1894	1240
bin.LS.9	20	-0.111579	-0.229474	0.182540	0.144645	633	792	183	292	2086	1442	1555	1162
bin.LSP.1	27	-0.096998	-0.155660	0.213310	0.166002	782	950	179	245	2443	1584	1900	1359
bin.LSP.12	14	-0.263819	-0.241935	0.138761	0.215416	293	503	47	77	993	751	883	570
bin.LSP.13	22	0.014946	-0.079365	0.166994	0.209245	747	725	87	102	1782	1272	1465	958
bin.LSP.6	65	-0.002158	-0.521033	0.199729	0.202282	1387	1393	649	2061	6205	4139	5795	3845
