user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
JR__binette_bin3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosospira;s__	N/A	N/A	N/A	N/A	N/A	GCF_900113575.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosospira;s__Nitrosospira sp900113575	89.32	0.357	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosospira;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	85.8	11	0.9848	N/A
JR__binette_bin32	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__Bacillus_BD;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__Bacillus_BD;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	59.23	11	0.9379	Genome has more than 10.8% of markers with multiple hits
JR__binette_bin4	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp004331285	GCF_004331285.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp004331285	98.73	0.809	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001647545.1, s__Acinetobacter sp001647545, 95.0, 90.65, 0.586; GCF_013004375.1, s__Acinetobacter terrae, 95.0, 89.87, 0.504; GCF_002365595.1, s__Acinetobacter sp002365595, 95.0, 85.83, 0.268; GCF_000367925.1, s__Acinetobacter bohemicus, 95.0, 85.99, 0.18; GCF_900107285.1, s__Acinetobacter kyonggiensis, 95.0, 85.47, 0.178; GCF_902753875.1, s__Acinetobacter bouvetii_A, 95.0, 84.64, 0.165; GCF_004331155.1, s__Acinetobacter terrestris, 95.0, 89.54, 0.486; GCF_002135315.1, s__Acinetobacter sp002135315, 95.0, 85.37, 0.226; GCF_016599715.1, s__Acinetobacter sp002135245, 95.0, 84.6, 0.153; GCF_004336635.1, s__Acinetobacter sp004336635, 95.0, 89.58, 0.476; GCF_039543765.1, s__Acinetobacter kookii, 95.0, 84.68, 0.188; GCF_002135355.1, s__Acinetobacter sp002135355, 95.0, 86.03, 0.254; GCF_002135335.1, s__Acinetobacter sp002135335, 95.0, 85.23, 0.218	N/A	N/A	N/A	N/A
JR__binette_bin5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__	N/A	N/A	N/A	N/A	N/A	GCF_003989665.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum doebereinerae	94.51	0.679	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_017876095.1, s__Azospirillum agricola, 95.0, 89.7, 0.344	79.9	11	0.99466	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
JR__binette_bin8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E capeferrum	GCF_000731675.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E capeferrum	97.27	0.873	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900497695.1, s__Pseudomonas_E wadenswilerensis, 95.0, 84.85, 0.168; GCF_029478665.1, s__Pseudomonas_E entomophila_F, 95.0, 86.85, 0.261; GCF_016648105.1, s__Pseudomonas_E sp016648105, 95.0, 87.21, 0.297; GCA_029953615.1, s__Pseudomonas_E sp002113165, 95.0, 88.0, 0.362; GCF_014268885.2, s__Pseudomonas_E xantholysinigenes, 95.0, 86.5, 0.258; GCF_030159595.1, s__Pseudomonas_E putida_AC, 95.0, 88.2, 0.399; GCF_031455735.1, s__Pseudomonas_E sp017875955, 95.0, 86.12, 0.216; GCF_902497775.2, s__Pseudomonas_E putida_F, 95.0, 85.05, 0.163; GCF_916618955.1, s__Pseudomonas_E sp916618955, 95.0, 87.9, 0.37; GCF_033095865.1, s__Pseudomonas_E sp033095865, 95.0, 87.61, 0.33; GCA_041071465.1, s__Pseudomonas_E putida_P, 95.0, 87.99, 0.411; GCF_900291015.1, s__Pseudomonas_E sp900291015, 95.0, 88.16, 0.363; GCA_041879295.1, s__Pseudomonas_E putida_Y, 95.0, 87.45, 0.326; GCF_009932375.1, s__Pseudomonas_E juntendi, 95.0, 86.84, 0.271; GCF_007677725.1, s__Pseudomonas_E sp003445295, 95.0, 85.91, 0.215; GCF_020151015.1, s__Pseudomonas_E putida_K, 95.0, 86.42, 0.228; GCF_000026105.1, s__Pseudomonas_E entomophila, 95.0, 86.8, 0.258; GCF_015680405.1, s__Pseudomonas_E pudica, 95.0, 88.13, 0.364; GCF_003231305.1, s__Pseudomonas_E sichuanensis, 95.0, 87.28, 0.282; GCF_005080685.1, s__Pseudomonas_E putida_V, 95.0, 87.11, 0.283; GCF_029836165.1, s__Pseudomonas_E sp029836165, 95.0, 86.72, 0.271; GCF_014268805.2, s__Pseudomonas_E farsensis, 95.0, 85.88, 0.194; GCF_019139675.1, s__Pseudomonas_E maumuensis, 95.0, 86.93, 0.284; GCF_021601385.1, s__Pseudomonas_E parasichuanensis, 95.0, 87.25, 0.278; GCF_024749165.1, s__Pseudomonas_E sp024749165, 95.0, 86.77, 0.263; GCF_023277925.1, s__Pseudomonas_E entomophila_D, 95.0, 87.01, 0.249; GCF_034387475.1, s__Pseudomonas_E sp034387475, 95.0, 87.23, 0.29; GCF_014268935.2, s__Pseudomonas_E peradeniyensis, 95.0, 87.26, 0.282; GCF_015680245.1, s__Pseudomonas_E guariconensis_C, 95.0, 85.93, 0.21; GCF_009883635.2, s__Pseudomonas_E putida_W, 95.0, 87.95, 0.378; GCF_000730645.1, s__Pseudomonas_E parafulva, 95.0, 86.26, 0.208; GCF_039673335.1, s__Pseudomonas_E sp039673335, 95.0, 88.36, 0.384; GCF_001320245.1, s__Pseudomonas_E sp001320245, 95.0, 87.45, 0.349; GCF_026625125.1, s__Pseudomonas_E putida_X, 95.0, 87.2, 0.322; GCF_019139535.1, s__Pseudomonas_E muyukensis, 95.0, 87.19, 0.276; GCF_014269205.2, s__Pseudomonas_E kermanshahensis, 95.0, 90.99, 0.601; GCF_000282535.1, s__Pseudomonas_E sp000282535, 95.0, 87.64, 0.335; GCF_015680295.1, s__Pseudomonas_E guariconensis_D, 95.0, 86.09, 0.216; GCF_024349685.1, s__Pseudomonas_E sp024349685, 95.0, 87.84, 0.341; GCF_004357765.1, s__Pseudomonas_E putida_U, 95.0, 86.56, 0.253; GCF_009932335.1, s__Pseudomonas_E asiatica, 95.0, 88.05, 0.357; GCF_039672635.1, s__Pseudomonas_E sp039672635, 95.0, 88.23, 0.376; GCF_011752525.1, s__Pseudomonas_E sp011752525, 95.0, 86.84, 0.246; GCF_022405695.1, s__Pseudomonas_E entomophila_E, 95.0, 86.84, 0.26; GCF_003331055.1, s__Pseudomonas_E sp003331055, 95.0, 88.09, 0.352; GCF_003205205.1, s__Pseudomonas_E sp003205205, 95.0, 87.2, 0.341; GCF_014268815.2, s__Pseudomonas_E urmiensis, 95.0, 86.31, 0.234; GCF_000412675.1, s__Pseudomonas_E putida, 95.0, 88.12, 0.382; GCF_000935045.1, s__Pseudomonas_E sp000935045, 95.0, 88.09, 0.354; GCF_015680235.1, s__Pseudomonas_E guariconensis_A, 95.0, 86.64, 0.223; GCF_019139895.1, s__Pseudomonas_E fakonensis, 95.0, 86.73, 0.252; GCF_016658545.1, s__Pseudomonas_E sp016658545, 95.0, 87.96, 0.355; GCF_900110655.1, s__Pseudomonas_E soli, 95.0, 86.9, 0.263; GCF_022533585.1, s__Pseudomonas_E sp001642705, 95.0, 88.32, 0.389; GCF_014269025.2, s__Pseudomonas_E promysalinigenes, 95.0, 85.92, 0.209; GCF_900536025.1, s__Pseudomonas_E reidholzensis, 95.0, 87.02, 0.286; GCF_021602585.1, s__Pseudomonas_E faucium, 95.0, 88.54, 0.405; GCF_036324125.1, s__Pseudomonas_E sp036324125, 95.0, 84.98, 0.156; GCA_947090765.1, s__Pseudomonas_E sp947090765, 95.0, 88.06, 0.368; GCF_000425785.1, s__Pseudomonas_E taiwanensis, 95.0, 86.8, 0.289; GCF_013179515.1, s__Pseudomonas_E sp013179515, 95.0, 87.88, 0.335; GCF_963518285.1, s__Pseudomonas_E sp963518285, 95.0, 85.77, 0.185; GCF_000498395.2, s__Pseudomonas_E putida_Q, 95.0, 87.9, 0.368; GCF_025905425.1, s__Pseudomonas_E putida_AF, 95.0, 91.19, 0.632; GCF_014269035.2, s__Pseudomonas_E vlassakiae, 95.0, 87.57, 0.345; GCF_028898945.1, s__Pseudomonas_E sp028898945, 95.0, 87.24, 0.29; GCF_003097235.1, s__Pseudomonas_E sp003097235, 95.0, 88.22, 0.367; GCF_005796105.1, s__Pseudomonas_E mosselii_C, 95.0, 85.45, 0.188; GCF_002741075.1, s__Pseudomonas_E putida_T, 95.0, 85.82, 0.212; GCF_000708715.2, s__Pseudomonas_E putida_R, 95.0, 88.22, 0.394; GCF_000259195.1, s__Pseudomonas_E donghuensis, 95.0, 84.89, 0.162; GCF_001636055.1, s__Pseudomonas_E putida_B, 95.0, 86.23, 0.244; GCA_031253995.1, s__Pseudomonas_E sp031253995, 95.0, 85.38, 0.151; GCF_026898135.2, s__Pseudomonas_E fortuita, 95.0, 87.67, 0.368; GCF_014268785.2, s__Pseudomonas_E shirazensis, 95.0, 85.79, 0.171; GCF_002386445.1, s__Pseudomonas_E sp002386445, 95.0, 87.54, 0.35; GCF_021602025.1, s__Pseudomonas_E ceruminis, 95.0, 87.58, 0.362; GCF_000730665.1, s__Pseudomonas_E plecoglossicida, 95.0, 88.01, 0.353; GCF_018417595.1, s__Pseudomonas_E entomophila_C, 95.0, 86.93, 0.265; GCF_000730605.1, s__Pseudomonas_E monteilii, 95.0, 88.31, 0.409; GCF_009391885.1, s__Pseudomonas_E sp009391885, 95.0, 88.11, 0.393; GCF_014269225.2, s__Pseudomonas_E anuradhapurensis, 95.0, 87.73, 0.328; GCF_018417635.1, s__Pseudomonas_E sp900101695, 95.0, 84.84, 0.174; GCF_900102675.1, s__Pseudomonas_E guariconensis, 95.0, 85.83, 0.211; GCF_019823065.1, s__Pseudomonas_E mosselii, 95.0, 86.93, 0.278; GCF_000800255.1, s__Pseudomonas_E parafulva_A, 95.0, 85.39, 0.169; GCF_002025705.1, s__Pseudomonas_E putida_J, 95.0, 87.73, 0.335; GCF_035277045.1, s__Pseudomonas_E sp035277045, 95.0, 85.19, 0.167; GCF_029193575.1, s__Pseudomonas_E entomophila_G, 95.0, 87.21, 0.287; GCF_029840925.1, s__Pseudomonas_E sp029840925, 95.0, 86.28, 0.248; GCF_011752565.1, s__Pseudomonas_E sp011752565, 95.0, 87.7, 0.336; GCF_017744435.1, s__Pseudomonas_E sp017744435, 95.0, 88.03, 0.36; GCF_024127895.1, s__Pseudomonas_E guariconensis_B, 95.0, 86.91, 0.274; GCF_021283545.2, s__Pseudomonas_E alloputida, 95.44, 87.69, 0.352; GCF_030272895.1, s__Pseudomonas_E sp030272895, 95.0, 85.39, 0.18; GCA_029202525.1, s__Pseudomonas_E phytovorans, 95.0, 87.66, 0.373; GCF_015354575.1, s__Pseudomonas_E sp015354575, 95.0, 87.11, 0.262; GCF_002112505.1, s__Pseudomonas_E sp002112505, 95.0, 88.16, 0.374; GCF_040214835.1, s__Pseudomonas_E putida_Z, 96.09, 88.3, 0.372; GCF_014269185.2, s__Pseudomonas_E oryzicola, 95.0, 87.89, 0.355; GCF_003627215.1, s__Pseudomonas_E sp001422615, 95.0, 87.59, 0.363; GCF_004519305.1, s__Pseudomonas_E sp004519305, 95.0, 86.85, 0.274; GCA_014268975.2, s__Pseudomonas_E wayambapalatensis, 95.0, 86.32, 0.227; GCF_016406145.1, s__Pseudomonas_E putida_E, 95.0, 87.49, 0.333; GCF_002906855.1, s__Pseudomonas_E putida_N, 95.0, 87.8, 0.371; GCF_003205295.1, s__Pseudomonas_E mosselii_B, 95.0, 86.83, 0.271; GCF_002165135.1, s__Pseudomonas_E sp002165135, 95.0, 87.95, 0.352; GCF_900277125.1, s__Pseudomonas_E inefficax, 95.0, 87.97, 0.35	N/A	N/A	N/A	N/A
JR__binette_bin9	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_036378815.1, s__Agromyces sp036378815, 95.0, 86.68, 0.246; GCF_902809835.1, s__Agromyces sp902809835, 95.0, 86.5, 0.265	61.93	11	0.97921	N/A
JSP__binette_bin10	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	N/A	N/A	N/A	N/A	N/A	GCA_036514115.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__UBA4720 sp036514115	85.45	0.168	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__UBA4720;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	72.68	11	0.99082	N/A
JSP__binette_bin14	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__DATAEY01;s__DATAEY01 sp035264745	GCA_035264745.1	95.0	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__DATAEY01;s__DATAEY01 sp035264745	98.29	0.74	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_036257715.1, s__DATAEY01 sp036257715, 95.0, 87.87, 0.259	N/A	N/A	N/A	N/A
JSP__binette_bin17	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_025927435.1, s__Palsa-739 sp025927435, 95.0, 89.28, 0.492; GCA_035273125.1, s__Palsa-739 sp035273125, 95.0, 88.85, 0.484; GCA_035262765.1, s__Palsa-739 sp035262765, 95.0, 85.79, 0.19; GCA_036494245.1, s__Palsa-739 sp036494245, 95.0, 85.55, 0.222; GCA_025933895.1, s__Palsa-739 sp025933895, 95.0, 85.37, 0.187; GCA_005883365.1, s__Palsa-739 sp005883365, 95.0, 85.14, 0.168; GCA_036526375.1, s__Palsa-739 sp036526375, 95.0, 85.09, 0.22; GCA_035252585.1, s__Palsa-739 sp035252585, 95.0, 85.04, 0.211; GCA_035653395.1, s__Palsa-739 sp035653395, 95.0, 84.98, 0.234; GCA_036490825.1, s__Palsa-739 sp036490825, 95.0, 84.97, 0.208; GCA_036273695.1, s__Palsa-739 sp036273695, 95.0, 84.95, 0.232; GCA_035279325.1, s__Palsa-739 sp035279325, 95.0, 84.86, 0.221; GCA_035764085.1, s__Palsa-739 sp035764085, 95.0, 84.85, 0.207; GCA_036271615.1, s__Palsa-739 sp036271615, 95.0, 84.83, 0.214; GCA_035653435.1, s__Palsa-739 sp035653435, 95.0, 84.67, 0.194; GCA_036723535.1, s__Palsa-739 sp036723535, 95.0, 84.55, 0.161; GCA_036007185.1, s__Palsa-739 sp036007185, 95.0, 84.54, 0.166; GCA_035713675.1, s__Palsa-739 sp035713675, 95.0, 84.34, 0.162; GCA_025928515.1, s__Palsa-739 sp025928515, 95.0, 84.31, 0.208; GCA_035706005.1, s__Palsa-739 sp035706005, 95.0, 84.31, 0.193; GCA_025936995.1, s__Palsa-739 sp025936995, 95.0, 84.04, 0.177; GCA_036496985.1, s__Palsa-739 sp036496985, 95.0, 83.82, 0.158	76.59	11	0.98548	N/A
JSP__binette_bin2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAS01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__VBAS01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.15	11	0.98219	N/A
