  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
36,    P-2600,   2025/07/29 16:39:01,           1-02,6,-10.496,3446.915,18575,0,1,                                        ,                                        ,                 H2O,1753832647,0.102,7.113,66.471,0.001,0.169,1.587,203.041,21.154,3.023,90.309,0.722,-5.179,0,0,1,43.625,1,2,3,20250722_TristanCaro,0,1
37,    P-2600,   2025/07/29 16:48:01,           1-02,7,-10.548,3451.56,18700,0,1,                                        ,                                        ,                 H2O,1753833187,0.113,7.291,67.324,0,0.173,1.597,203.096,20.3,3.502,90.568,0.722,-4.069,0,0,1,43.688,1,2,3,20250722_TristanCaro,0,1
38,    P-2600,   2025/07/29 16:57:02,           1-02,8,-10.584,3453.172,18607,0,1,                                        ,                                        ,                 H2O,1753833728,0.124,8.614,77.92,0.002,0.205,1.861,203.225,20.945,3.076,91.072,0.721,-5.084,0,0,1,43.625,1,2,3,20250722_TristanCaro,0,1
39,    P-2600,   2025/07/29 17:06:02,           1-02,9,-10.57,3459.209,18654,0,1,                                        ,                                        ,                 H2O,1753834268,0.117,7.594,67.375,0,0.181,1.609,203.018,20.416,3.435,89.603,0.722,-4.449,0,0,1,43.562,1,2,3,20250722_TristanCaro,0,1
40,    P-2601,   2025/07/29 17:17:19,           1-03,1,-9.914,7347.34,19219,-1,1,                                        ,                                        ,                 H2O,1753834945,0.141,6.373,68.889,0,-0.144,1.646,211.332,10.711,4.074,100.741,0.724,-10.656,0,0,1,43.625,1,3,3,20250722_TristanCaro,0,1
41,    P-2601,   2025/07/29 17:26:19,           1-03,2,-9.6,7255.866,20392,-1,1,                                        ,                                        ,                 H2O,1753835485,0.14,4.442,68.66,0,-0.102,1.624,220.124,7.293,4.982,99.743,0.725,-11.486,0,0,1,43.625,1,3,3,20250722_TristanCaro,0,1
42,    P-2601,   2025/07/29 17:35:20,           1-03,3,-9.757,7708.97,18832,-1,1,                                        ,                                        ,                 H2O,1753836026,0.174,1.948,85.318,0.002,-0.019,2.032,209.485,6.672,4.641,96.381,0.723,-10.603,0,0,1,43.5,1,3,3,20250722_TristanCaro,0,1
43,    P-2601,   2025/07/29 17:44:20,           1-03,4,-10.099,7900.639,18583,0,1,                                        ,                                        ,                 H2O,1753836566,0.143,2.543,73.487,0.001,-0.055,1.749,207.971,6.225,4.648,94.553,0.723,-10.764,0,0,1,43.5,1,3,3,20250722_TristanCaro,0,1
44,    P-2601,   2025/07/29 17:53:20,           1-03,5,-10.115,7940.94,18799,0,1,                                        ,                                        ,                 H2O,1753837106,0.147,2.078,67.71,0,-0.042,1.62,209.617,6.166,4.718,94.405,0.724,-11.158,0,0,1,43.5,1,3,3,20250722_TristanCaro,0,1
45,    P-2601,   2025/07/29 18:02:19,           1-03,6,-10.086,7962.318,18632,0,1,                                        ,                                        ,                 H2O,1753837646,0.141,1.509,66.439,0.001,-0.027,1.582,208.387,5.857,4.689,95.547,0.723,-10.802,0,0,1,43.5,1,3,3,20250722_TristanCaro,0,1
46,    P-2601,   2025/07/29 18:11:20,           1-03,7,-10.12,7973.023,18641,0,1,                                        ,                                        ,                 H2O,1753838186,0.142,1.094,66.165,0,-0.013,1.583,208.486,5.77,4.708,94.926,0.724,-10.916,0,0,1,43.562,1,3,3,20250722_TristanCaro,0,1
47,    P-2601,   2025/07/29 18:20:21,           1-03,8,-9.986,7979.104,18654,0,1,                                        ,                                        ,                 H2O,1753838727,0.141,1.083,65.88,0,0,1.571,208.025,9.11,4.115,99.4,0.722,-10.986,0,0,1,43.562,1,3,3,20250722_TristanCaro,0,1
48,    P-2601,   2025/07/29 18:29:22,           1-03,9,-9.915,7988.565,18646,0,1,                                        ,                                        ,                 H2O,1753839267,0.156,1.259,65.8,0,0.01,1.566,207.755,9.724,4.022,101.322,0.723,-10.884,0,0,1,43.5,1,3,3,20250722_TristanCaro,0,1
49,    P-2602,   2025/07/29 18:40:38,           1-04,1,-8.856,17642.607,19050,-1,1,                                        ,                                        ,                 H2O,1753839945,0.234,32.619,67.569,0.001,-0.766,1.613,219.351,-16.52,7.076,127.972,0.743,-22.913,0,0,1,43.5,1,4,3,20250722_TristanCaro,0,1
50,    P-2602,   2025/07/29 18:49:38,           1-04,2,-8.83,18478.003,19015,-1,1,                                        ,                                        ,                 H2O,1753840483,0.267,32.018,70.625,0,-0.757,1.68,220.01,-18.712,7.368,130.427,0.748,-23.835,0,0,1,43.5,1,4,3,20250722_TristanCaro,0,1
51,    P-2602,   2025/07/29 18:58:39,           1-04,3,-8.563,18871.294,18649,-1,1,                                        ,                                        ,                 H2O,1753841025,0.269,28.718,65.325,0.002,-0.677,1.552,215.11,-13.561,6.78,134.712,0.747,-22.167,0,0,1,43.562,1,4,3,20250722_TristanCaro,0,1
52,    P-2602,   2025/07/29 19:07:40,           1-04,4,-8.888,19024.624,18806,0,1,                                        ,                                        ,                 H2O,1753841565,0.248,24.539,67.627,0,-0.578,1.609,218.272,-18.3,7.251,131.996,0.747,-23.945,0,0,1,43.625,1,4,3,20250722_TristanCaro,0,1
53,    P-2602,   2025/07/29 19:16:40,           1-04,5,-8.952,19087.224,18450,0,1,                                        ,                                        ,                 H2O,1753842106,0.254,21.441,67.84,0,-0.503,1.615,216.008,-18.327,7.207,128.463,0.745,-23.796,0,0,1,43.625,1,4,3,20250722_TristanCaro,0,1
54,    P-2602,   2025/07/29 19:25:41,           1-04,6,-8.967,19124.622,18678,0,1,                                        ,                                        ,                 H2O,1753842647,0.25,19.942,65.912,0,-0.468,1.574,217.851,-18.966,7.324,130.151,0.746,-24.24,0,0,1,43.5,1,4,3,20250722_TristanCaro,0,1
55,    P-2602,   2025/07/29 19:34:41,           1-04,7,-8.968,19158.512,18601,0,1,                                        ,                                        ,                 H2O,1753843188,0.274,18.95,67.249,-0.001,-0.446,1.61,217.275,-19.198,7.297,130.1,0.744,-24.08,0,0,1,43.562,1,4,3,20250722_TristanCaro,0,1
56,    P-2602,   2025/07/29 19:43:42,           1-04,8,-8.947,19174.989,18738,0,1,                                        ,                                        ,                 H2O,1753843728,0.255,16.205,66.712,0,-0.378,1.594,218.285,-19.633,7.411,130.501,0.746,-24.303,0,0,1,43.562,1,4,3,20250722_TristanCaro,0,1
57,    P-2602,   2025/07/29 19:52:43,           1-04,9,-8.979,19194.665,18732,0,1,                                        ,                                        ,                 H2O,1753844269,0.222,16.08,68.02,-0.001,-0.371,1.613,218.195,-19.389,7.375,131.521,0.751,-24.089,0,0,1,43.5,1,4,3,20250722_TristanCaro,0,1
58,    P-2603,   2025/07/29 20:04:00,           1-05,1,-6.89,36309.907,19158,-1,1,                                        ,                                        ,                 H2O,1753844945,0.446,71.913,75.955,-0.002,-1.671,1.802,231.191,-52.439,12.078,195.384,1.057,-41.624,0,0,1,43.562,1,5,3,20250722_TristanCaro,0,1
59,    P-2603,   2025/07/29 20:13:00,           1-05,2,-6.279,36104.784,19935,-1,1,                                        ,                                        ,                 H2O,1753845487,0.501,56.693,102.363,0.002,-1.257,2.351,238.098,-55.06,12.601,199.254,1.155,-44.11,0,0,1,43.5,1,5,3,20250722_TristanCaro,0,1
60,    P-2603,   2025/07/29 20:22:01,           1-05,3,-5.806,38554.157,18672,-1,1,                                        ,                                        ,                 H2O,1753846029,0.468,63.219,68.846,0.003,-1.469,1.64,224.962,-49.611,12.034,201.382,1.165,-39.337,0,0,1,43.5,1,5,3,20250722_TristanCaro,0,1
61,    P-2603,   2025/07/29 20:31:01,           1-05,4,-5.524,38950.923,18577,0,1,                                        ,                                        ,                 H2O,1753846568,0.481,59.881,69.504,0.002,-1.373,1.641,223.415,-48.458,12.003,201.331,1.179,-38.783,0,0,1,43.5,1,5,3,20250722_TristanCaro,0,1
62,    P-2603,   2025/07/29 20:40:01,           1-05,5,-5.515,39079.198,18594,0,1,                                        ,                                        ,                 H2O,1753847106,0.544,53.442,71.674,0,-1.212,1.692,223.096,-47.991,12.028,202.3,1.244,-38.23,0,0,1,43.438,1,5,3,20250722_TristanCaro,0,1
63,    P-2603,   2025/07/29 20:49:02,           1-05,6,-5.427,39185.133,18532,0,1,                                        ,                                        ,                 H2O,1753847646,0.488,51.754,68.343,0,-1.181,1.616,222.802,-48.052,12.013,200.143,1.201,-38.324,0,0,1,43.438,1,5,3,20250722_TristanCaro,0,1
64,    P-2603,   2025/07/29 20:58:02,           1-05,7,-6.153,39186.828,18672,0,1,                                        ,                                        ,                 H2O,1753848190,0.571,33.36,98.409,0.001,-0.629,2.256,227.041,-53.843,12.351,202.006,1.267,-41.269,0,0,1,43.438,1,5,3,20250722_TristanCaro,0,1
65,    P-2603,   2025/07/29 21:07:02,           1-05,8,-6.63,39260.34,18605,0,1,                                        ,                                        ,                 H2O,1753848728,0.513,45.678,69.355,-0.001,-1.019,1.641,227.752,-54.689,12.443,200.185,1.218,-42.468,0,0,1,43.438,1,5,3,20250722_TristanCaro,0,1
66,    P-2603,   2025/07/29 21:16:02,           1-05,9,-5.722,39314.7,18512,0,1,                                        ,                                        ,                 H2O,1753849269,0.543,39.401,67.385,0.003,-0.858,1.588,223.781,-50.433,12.117,202.124,1.269,-39.234,0,0,1,43.5,1,5,3,20250722_TristanCaro,0,1
67,    P-2604,   2025/07/29 21:28:17,           1-01,1,              ,              ,              ,        ,     ,                                        ,                                        ,                 H2O,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,              ,     ,              ,1,1,4,SyringeCleaning_NMP_mqH2O_5xRinse,0,1
68,    P-2605,   2025/07/29 21:40:39,           1-06,1,-9.48,15068.382,19741,-1,1,                                        ,                                        ,                 H2O,1753850745,0.218,45.138,63.053,0,1.065,1.494,223.077,-12.497,6.726,123.639,0.737,-21.02,0,0,1,43.5,1,6,5,20250722_TristanCaro,0,1
69,    P-2605,   2025/07/29 21:49:39,           1-06,2,-9.025,13919.631,18756,-1,1,                                        ,                                        ,                 H2O,1753851286,0.192,41.861,63.419,0,0.998,1.511,213.284,-3.998,5.589,119.134,0.729,-17.301,0,0,1,43.5,1,6,5,20250722_TristanCaro,0,1
70,    P-2605,   2025/07/29 21:58:40,           1-06,3,-9.158,13778.678,18759,-1,1,                                        ,                                        ,                 H2O,1753851826,0.213,31.896,64.685,0.001,0.758,1.538,212.522,-2.823,5.464,120.597,0.731,-16.821,0,0,1,43.5,1,6,5,20250722_TristanCaro,0,1
71,    P-2605,   2025/07/29 22:07:40,           1-06,4,-9.16,13691.653,18723,0,1,                                        ,                                        ,                 H2O,1753852366,0.186,24.93,65.398,0,0.595,1.564,212.362,-2.663,5.435,119.451,0.731,-16.901,0,0,1,43.5,1,6,5,20250722_TristanCaro,0,1
72,    P-2605,   2025/07/29 22:16:40,           1-06,5,-9.186,13644.223,18644,0,1,                                        ,                                        ,                 H2O,1753852906,0.185,20.942,66.19,0.001,0.496,1.571,211.91,-2.573,5.381,118.114,0.729,-17.077,0,0,1,43.5,1,6,5,20250722_TristanCaro,0,1
73,    P-2605,   2025/07/29 22:25:41,           1-06,6,-9.159,13609.186,18619,0,1,                                        ,                                        ,                 H2O,1753853447,0.214,17.109,64.685,0.001,0.406,1.543,211.401,-1.965,5.341,118.188,0.729,-16.752,0,0,1,43.562,1,6,5,20250722_TristanCaro,0,1
74,    P-2605,   2025/07/29 22:34:41,           1-06,7,-9.175,13578.003,18712,0,1,                                        ,                                        ,                 H2O,1753853987,0.207,14.611,64.993,0,0.347,1.552,212.128,-2.472,5.401,119.499,0.731,-16.78,0,0,1,43.562,1,6,5,20250722_TristanCaro,0,1
75,    P-2605,   2025/07/29 22:43:41,           1-06,8,-9.225,13554.242,18623,0,1,                                        ,                                        ,                 H2O,1753854527,0.192,14.463,69.784,0.001,0.341,1.659,211.07,-1.717,5.325,119.805,0.728,-16.308,0,0,1,43.562,1,6,5,20250722_TristanCaro,0,1
76,    P-2605,   2025/07/29 22:52:42,           1-06,9,-9.247,13533.893,18633,0,1,                                        ,                                        ,                 H2O,1753855068,0.212,11.671,65.901,0.001,0.275,1.57,211.417,-2.507,5.386,119.077,0.729,-16.487,0,0,1,43.562,1,6,5,20250722_TristanCaro,0,1
77,    P-2606,   2025/07/29 23:04:00,           1-07,1,-9.538,13341.74,19029,-1,1,                                        ,                                        ,                 H2O,1753855746,0.192,11.626,68.114,0.001,0.273,1.623,215.192,-4.629,5.673,117.127,0.73,-17.472,0,0,1,43.5,1,7,5,20250722_TristanCaro,0,1
78,    P-2606,   2025/07/29 23:13:00,           1-07,2,-9.395,13278.846,18762,-1,1,                                        ,                                        ,                 H2O,1753856286,0.205,12.445,74.595,0.001,0.293,1.777,212.189,-2.035,5.374,118.139,0.73,-16.433,0,0,1,43.562,1,7,5,20250722_TristanCaro,0,1
79,    P-2606,   2025/07/29 23:22:01,           1-07,3,-9.354,13293.66,18592,-1,1,                                        ,                                        ,                 H2O,1753856827,0.196,9.131,66.83,0,0.215,1.601,211.066,-1.777,5.302,116.918,0.729,-16.395,0,0,1,43.562,1,7,5,20250722_TristanCaro,0,1
80,    P-2606,   2025/07/29 23:31:01,           1-07,4,-9.646,13305.388,18816,0,1,                                        ,                                        ,                 H2O,1753857367,0.185,10.303,73.971,0.001,0.242,1.763,214.312,-6.1,5.817,113.165,0.729,-17.652,0,0,1,43.5,1,7,5,20250722_TristanCaro,0,1
81,    P-2606,   2025/07/29 23:40:01,           1-07,5,-9.401,13308.436,18627,0,1,                                        ,                                        ,                 H2O,1753857907,0.182,7.91,67.639,0.001,0.184,1.614,211.474,-2.646,5.361,117.661,0.729,-16.495,0,0,1,43.562,1,7,5,20250722_TristanCaro,0,1
82,    P-2606,   2025/07/29 23:49:02,           1-07,6,-9.416,13302.223,18758,0,1,                                        ,                                        ,                 H2O,1753858448,0.203,10.214,74.812,0.002,0.238,1.782,212.284,-2.096,5.342,118.513,0.73,-16.583,0,0,1,43.5,1,7,5,20250722_TristanCaro,0,1
83,    P-2606,   2025/07/29 23:58:03,           1-07,7,-9.608,13302.6,18726,0,1,                                        ,                                        ,                 H2O,1753858989,0.185,7.544,71.24,0,0.174,1.691,213.813,-6.557,5.884,111.544,0.729,-17.684,0,0,1,43.562,1,7,5,20250722_TristanCaro,0,1
84,    P-2606,   2025/07/30 00:07:03,           1-07,8,-9.459,13294.143,18471,0,1,                                        ,                                        ,                 H2O,1753859529,0.189,9.525,76.121,0.002,0.222,1.817,210.557,-2.311,5.311,115.752,0.728,-16.497,0,0,1,43.562,1,7,5,20250722_TristanCaro,0,1
85,    P-2606,   2025/07/30 00:16:03,           1-07,9,-9.393,13291.439,18693,0,1,                                        ,                                        ,                 H2O,1753860069,0.223,9.701,77.183,0.002,0.225,1.83,211.99,-1.971,5.338,116.938,0.729,-16.685,0,0,1,43.562,1,7,5,20250722_TristanCaro,0,1
86,    P-2607,   2025/07/30 00:27:19,           1-08,1,-9.557,15074.777,19056,-1,1,                                        ,                                        ,                 H2O,1753860745,0.198,9.515,78.436,0.002,0.221,1.867,214.405,-2.393,5.461,120.129,0.73,-16.918,0,0,1,43.5,1,8,5,20250722_TristanCaro,0,1
87,    P-2607,   2025/07/30 00:36:18,           1-08,2,-9.486,13930.431,18609,-1,1,                                        ,                                        ,                 H2O,1753861284,0.19,9.428,80.562,0.002,0.219,1.921,211.235,-1.779,5.29,118.179,0.729,-16.338,0,0,1,43.562,1,8,5,20250722_TristanCaro,0,1
88,    P-2607,   2025/07/30 00:45:18,           1-08,3,-9.724,13785.344,18540,-1,1,                                        ,                                        ,                 H2O,1753861824,0.199,9.011,81.821,0.002,0.209,1.95,212.294,-5.956,5.765,111.728,0.73,-17.325,0,0,1,43.5,1,8,5,20250722_TristanCaro,0,1
89,    P-2607,   2025/07/30 00:54:17,           1-08,4,-9.487,13702.433,18505,0,1,                                        ,                                        ,                 H2O,1753862363,0.192,5.266,69.104,0.001,0.118,1.647,210.689,-2.733,5.374,117.302,0.73,-16.245,0,0,1,43.5,1,8,5,20250722_TristanCaro,0,1
90,    P-2607,   2025/07/30 01:03:18,           1-08,5,-9.433,13650.232,18709,0,1,                                        ,                                        ,                 H2O,1753862904,0.201,3.821,66.229,0.001,0.082,1.577,211.978,-2.368,5.375,117.791,0.73,-16.567,0,0,1,43.5,1,8,5,20250722_TristanCaro,0,1
91,    P-2607,   2025/07/30 01:12:17,           1-08,6,-9.465,13616.42,18630,0,1,                                        ,                                        ,                 H2O,1753863443,0.183,3.735,66.632,0,0.08,1.584,211.282,-1.607,5.307,117.829,0.728,-16.453,0,0,1,43.5,1,8,5,20250722_TristanCaro,0,1
